date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
27/03/2025;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4394835131.0;2.765;2.765
27/03/2025;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.506;0.75
27/03/2025;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.185;0.75
27/03/2025;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.059;0.75
27/03/2025;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.403;0.403
27/03/2025;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.167;0.167
27/03/2025;Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136643320.0;0.156;1.012
27/03/2025;Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;1051120777.0;0.624;1.012
27/03/2025;Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353448195.0;0.174;1.012
27/03/2025;Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293689428.0;0.058;1.012
27/03/2025;Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125446075.0;0.116;0.116
27/03/2025;Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533959816.0;0.006;0.006
27/03/2025;Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273755006.0;0.309;0.402
27/03/2025;Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377241484.0;0.093;0.402
27/03/2025;Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON  ATZ NM;525591097.0;0.058;0.058
27/03/2025;Diversos;COGN3;COGNA ON;ON      NM;1872454628.0;0.171;2.006
27/03/2025;Diversos;RENT3;LOCALIZA;ON  EJ  NM;965986531.0;1.564;2.006
27/03/2025;Diversos;VAMO3;VAMOS;ON      NM;485166826.0;0.12;2.006
27/03/2025;Diversos;YDUQ3;YDUQS PART;ON      NM;277677050.0;0.151;2.006
27/03/2025;Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON  EJ  NM;476976044.0;0.438;0.968
27/03/2025;Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211783588.0;0.188;0.968
27/03/2025;Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;314150156.0;0.342;0.968
27/03/2025;Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5857796242.0;2.656;2.656
27/03/2025;Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1484426957.0;0.823;18.378
27/03/2025;Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5129958973.0;3.153;18.378
27/03/2025;Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2842613858.0;3.851;18.378
27/03/2025;Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1287247964.0;2.138;18.378
27/03/2025;Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EB  N1;5272192664.0;7.956;18.378
27/03/2025;Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356586730.0;0.457;18.378
27/03/2025;Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637332335.0;1.203;2.132
27/03/2025;Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;517500000.0;0.368;2.132
27/03/2025;Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81838243.0;0.202;2.132
27/03/2025;Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;182560698.0;0.359;2.132
27/03/2025;Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON  EJ  NM;5392540963.0;3.139;3.139
27/03/2025;Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765785673.0;0.689;2.277
27/03/2025;Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630821784.0;1.588;2.277
27/03/2025;Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250969312.0;0.215;12.297
27/03/2025;Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1646519336.0;0.496;12.297
27/03/2025;Mats Básicos / Mineração;VALE3;VALE;ON      NM;4270903023.0;11.586;12.297
27/03/2025;Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265388400.0;0.147;0.147
27/03/2025;Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1242683687.0;1.021;1.801
27/03/2025;Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;649238303.0;0.295;1.801
27/03/2025;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.341;1.801
27/03/2025;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.144;1.801
27/03/2025;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;460791208.0;0.506;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.417;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.355;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4431132660.0;7.791;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.218;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.49;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.107;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1090134379.0;0.908;16.645
27/03/2025;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1023538460.0;0.853;16.645
27/03/2025;Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;370735677.0;0.347;1.507
27/03/2025;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.16;1.507
27/03/2025;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;455988366.0;0.253;2.308
27/03/2025;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.501;2.308
27/03/2025;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1145289019.0;1.554;2.308
27/03/2025;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.05;0.891
27/03/2025;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON  EJ  NM;540206440.0;0.841;0.891
27/03/2025;Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;382442128.0;0.901;1.572
27/03/2025;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.671;1.572
27/03/2025;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.265;3.265
27/03/2025;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.119;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1858636840.0;0.914;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.833;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.339;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.868;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.569;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.627;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.089;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.465;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1253541010.0;1.934;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395801044.0;0.424;11.53
27/03/2025;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.349;11.53
28/03/2025;Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1243177587.0;2.699;2.699
28/03/2025;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.349;2.557
28/03/2025;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.208;2.557
28/03/2025;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.054;2.131
28/03/2025;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.558;2.131
28/03/2025;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;0.987;2.131
28/03/2025;Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855712622.0;0.532;2.131
28/03/2025;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.771;3.474
28/03/2025;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ATZ NM;1145962972.0;2.25;3.474
28/03/2025;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.252;3.474
28/03/2025;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.074;3.474
28/03/2025;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.127;3.474
28/03/2025;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4394835131.0;2.769;2.769
28/03/2025;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.506;0.754
28/03/2025;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.186;0.754
